symbol,horizon_minutes,total_forecasts,directional_accuracy,up_accuracy,down_accuracy,flat_accuracy,avg_confidence
BTC-USD,1440,57,49.122807017543856,50.0,61.36363636363637,0.0,0.053733897011663694
BTC-USD,10080,50,54.0,16.666666666666664,61.904761904761905,0.0,0.04672411207658486
BTC-USD,43200,27,100.0,0.0,100.0,0.0,0.06243628495226776
ETH-USD,1440,57,52.63157894736842,0.0,53.57142857142857,0.0,0.049616928140080056
ETH-USD,10080,50,62.0,0.0,62.0,0.0,0.06693902334614008
ETH-USD,43200,27,100.0,0.0,100.0,0.0,0.11289734858352957
XMR-USD,1440,57,52.63157894736842,52.63157894736842,0.0,0.0,0.06408812524655491
XMR-USD,10080,50,64.0,64.0,0.0,0.0,0.08214525334663726
XMR-USD,43200,27,92.5925925925926,92.5925925925926,0.0,0.0,0.1338073084451121
NVDA,1440,38,31.57894736842105,47.82608695652174,50.0,0.0,0.03452039872696383
NVDA,10080,0,0.0,0.0,0.0,0.0,0.0
NVDA,43200,0,0.0,0.0,0.0,0.0,0.0
